question,answer,id
Did Wilson support desegregation?,no,1698
Did Wilson support the committee system?,no,1700
Did Wilson have any siblings?,yes,1702
What was Scots-Irish and Scottish?,His ancestry,1704
"What defended slavery, owned slaves and S08_set up a Sunday school for them?",His father,1705
Who did Wilson win in 1917?,Irish Americans,1706
Was Wilson awarded the 1919 Nobel Peace Prize?,Yes,1707
Was Wilson a remarkably effective writer and thinker?,Yes,1708
What lived in Columbia?,Wilson,1709
Was Wilson president of the American Political Science Association in 1910 ?,Yes,1710
"Did he not cast his ballot for John M. Palmer , the presidential candidate of the National Democratic Party , or Gold Democrats , a short-lived party that supported a gold standard , low tariffs , and limited government ?",Yes,1711
Did Wilson not spend 1914 through the beginning of 1917 trying to keep America out of the war in Europe ?,Yes,1712
"Was Wilson , a staunch opponent of antisemitism , sympathetic to the plight of Jews , especially in Poland and in France ?",Yes,1713
What happened in 1917?,"raised billions through Liberty loans, imposed an income tax, S08_set up the War Industries Board, promoted labor union growth, supervised agriculture and food production through the Lever Act, took over control of the railroads, and suppressed anti-war movements",1714
